document,element,frequency_in_document
C00001,know,4.0
C00001,associ,5.0
C00001,said,1.0
C00001,known,3.0
C00001,colonel,1.0
C00001,rusti,1.0
C00001,nelson,1.0
C00001,saw,1.0
C00001,give,1.0
C00001,full,1.0
C00001,money,1.0
C00001,bearer,1.0
C00001,bond,1.0
C00001,kept,1.0
C00001,contra,1.0
C00001,cocain,1.0
C00001,oliv,1.0
C00001,north,1.0
C00001,question,7.0
C00001,citi,1.0
C00001,accus,5.0
C00001,televis,1.0
C00001,coverag,1.0
C00001,immedi,1.0
C00001,recogn,1.0
C00001,ukiah,1.0
C00001,santa,1.0
C00001,gun,1.0
C00001,rosa,1.0
C00001,see,1.0
C00001,wrote,1.0
C00001,briefcas,2.0
C00001,went,2.0
C00001,miss,1.0
C00001,wreckag,1.0
C00001,first,6.0
C00001,death,1.0
C00001,connect,3.0
C00001,ring,3.0
C00001,discoveri,1.0
C00001,channel,1.0
C00001,documentari,1.0
C00001,entitl,1.0
C00001,titl,2.0
C00001,silenc,1.0
C00001,moment,1.0
C00001,group,2.0
C00001,unidentifi,1.0
C00001,paid,1.0
C00001,copi,2.0
C00001,warfar,1.0
C00001,destroy,2.0
C00001,surviv,1.0
C00001,republican,1.0
C00001,john,1.0
C00001,decamp,1.0
C00001,committe,1.0
C00001,last,1.0
C00001,formal,1.0
C00001,court,5.0
C00001,divis,1.0
C00001,origin,1.0
C00001,board,3.0
C00001,member,3.0
C00001,doctor,2.0
C00001,hypnotist,1.0
C00001,martin,1.0
C00001,orn,1.0
C00001,loui,1.0
C00001,jolyin,1.0
C00001,well,6.0
C00001,richard,1.0
C00001,ofsh,1.0
C00001,fmsf,5.0
C00001,coerciv,1.0
C00001,margaret,1.0
C00001,singer,1.0
C00001,elizabeth,1.0
C00001,loftus,1.0
C00001,mandat,1.0
C00001,recov,1.0
C00001,traumat,1.0
C00001,usual,2.0
C00001,therapist,4.0
C00001,implant,1.0
C00001,protect,4.0
C00001,resort,1.0
C00001,us,15.0
C00001,foundat,3.0
C00001,syndrom,3.0
C00001,memori,7.0
C00001,cid,2.0
C00001,indec,1.0
C00001,sodomi,1.0
C00001,kidnap,2.0
C00001,fals,6.0
C00001,swear,1.0
C00001,remain,1.0
C00001,alibi,1.0
C00001,offer,1.0
C00001,persuas,2.0
C00001,deni,1.0
C00001,select,1.0
C00001,space,1.0
C00001,station,1.0
C00001,cheyenn,1.0
C00001,mountain,1.0
C00001,four,1.0
C00001,retir,1.0
C00001,true,1.0
C00001,entri,1.0
C00001,cover,2.0
C00001,croni,2.0
C00001,peter,1.0
C00001,pamela,1.0
C00001,specialist,1.0
C00001,freyd,1.0
C00001,establish,3.0
C00001,schmit,1.0
C00001,loran,1.0
C00001,en,1.0
C00001,explod,1.0
C00001,newspap,2.0
C00001,publish,1.0
C00001,church,3.0
C00001,vice,1.0
C00001,lavey,2.0
C00001,squad,1.0
C00001,judg,3.0
C00001,anton,2.0
C00001,ceremoni,1.0
C00001,human,2.0
C00001,auction,1.0
C00001,las,1.0
C00001,impregn,1.0
C00001,vega,1.0
C00001,airplan,1.0
C00001,own,1.0
C00001,dea,1.0
C00001,transport,1.0
C00001,orphanag,1.0
C00001,foster,1.0
C00001,washington,2.0
C00001,dc,1.0
C00001,orgi,2.0
C00001,dignitari,1.0
C00001,congressmen,2.0
C00001,georg,2.0
C00001,toronto,1.0
C00001,polic,1.0
C00001,chief,1.0
C00001,forward,1.0
C00001,indict,1.0
C00001,conclud,1.0
C00001,spite,1.0
C00001,contrari,1.0
C00001,raid,1.0
C00001,satan,16.0
C00001,franklin,3.0
C00001,credit,2.0
C00001,union,4.0
C00001,omaha,2.0
C00001,nebraska,4.0
C00001,man,4.0
C00001,lawrenc,5.0
C00001,king,10.0
C00001,process,3.0
C00001,uncov,2.0
C00001,relat,3.0
C00001,drug,3.0
C00001,pornographi,2.0
C00001,activ,6.0
C00001,promin,1.0
C00001,individu,1.0
C00001,communiti,1.0
C00001,beyond,2.0
C00001,eighti,1.0
C00001,eventu,2.0
C00001,came,2.0
C00001,bush,2.0
C00001,lie,3.0
C00001,parti,1.0
C00001,traffick,6.0
C00001,prison,1.0
C00001,spent,2.0
C00001,solitari,1.0
C00001,confin,1.0
C00001,woman,1.0
C00001,penal,1.0
C00001,involuntarili,1.0
C00001,sentenc,3.0
C00001,commit,1.0
C00001,satanist,4.0
C00001,perjuri,1.0
C00001,loot,1.0
C00001,join,1.0
C00001,million,2.0
C00001,heavi,1.0
C00001,impos,1.0
C00001,meant,1.0
C00001,messag,1.0
C00001,might,2.0
C00001,think,1.0
C00001,talk,1.0
C00001,key,1.0
C00001,gari,1.0
C00001,caradori,1.0
C00001,plane,1.0
C00001,mysteri,1.0
C00001,devout,1.0
C00001,thrown,1.0
C00001,rather,2.0
C00001,recant,2.0
C00001,blackmail,2.0
C00001,purpos,1.0
C00001,conduct,1.0
C00001,offutt,1.0
C00001,near,1.0
C00001,aquino,46.0
C00001,strateg,1.0
C00001,command,1.0
C00001,sac,1.0
C00001,minot,1.0
C00001,psycholog,3.0
C00001,cult,3.0
C00001,son,2.0
C00001,sam,1.0
C00001,manson,1.0
C00001,find,1.0
C00001,made,5.0
C00001,nation,1.0
C00001,media,3.0
C00001,discredit,5.0
C00001,wit,1.0
C00001,enforc,1.0
C00001,harass,1.0
C00001,aftermath,1.0
C00001,caus,2.0
C00001,alisha,2.0
C00001,owen,3.0
C00001,surreptiti,1.0
C00001,juri,1.0
C00001,intimid,1.0
C00001,coerc,1.0
C00001,list,1.0
C00001,coach,1.0
C00001,without,1.0
C00001,trip,1.0
C00001,adult,1.0
C00001,examin,1.0
C00001,definit,1.0
C00001,physic,2.0
C00001,parent,1.0
C00001,either,1.0
C00001,easili,1.0
C00001,deceiv,1.0
C00001,count,1.0
C00001,cours,1.0
C00001,etc,1.0
C00001,suppos,1.0
C00001,conspir,1.0
C00001,occam,1.0
C00001,razor,1.0
C00001,dictat,1.0
C00001,simplest,1.0
C00001,explan,3.0
C00001,requir,2.0
C00001,assumpt,1.0
C00001,accur,1.0
C00001,lack,1.0
C00001,lawyer,1.0
C00001,plausibl,1.0
C00001,slaveri,1.0
C00001,exact,1.0
C00001,turn,2.0
C00001,kid,1.0
C00001,compromis,1.0
C00001,wish,1.0
C00001,sound,1.0
C00001,bizarr,1.0
C00001,troubl,1.0
C00001,accept,1.0
C00001,begin,1.0
C00001,data,1.0
C00001,proof,1.0
C00001,white,1.0
C00001,unusu,1.0
C00001,subsequ,1.0
C00001,warren,1.0
C00001,urbom,1.0
C00001,pay,2.0
C00001,damag,1.0
C00001,whether,2.0
C00001,guilti,1.0
C00001,world,2.0
C00001,despic,1.0
C00001,programm,1.0
C00001,crawl,1.0
C00001,toilet,1.0
C00001,reason,1.0
C00001,week,1.0
C00001,whatsoev,1.0
C00001,compar,1.0
C00001,altern,1.0
C00001,life,1.0
C00001,law,1.0
C00001,manag,1.0
C00001,mention,1.0
C00001,let,1.0
C00001,get,2.0
C00001,old,1.0
C00001,fair,1.0
C00001,die,1.0
C00001,due,1.0
C00001,time,7.0
C00001,throughout,2.0
C00001,like,1.0
C00001,francisco,2.0
C00001,center,8.0
C00001,care,6.0
C00001,day,5.0
C00001,presidio,7.0
C00001,children,28.0
C00001,abus,29.0
C00001,sexual,9.0
C00001,ritual,10.0
C00001,involv,21.0
C00001,investig,15.0
C00001,result,2.0
C00001,discharg,1.0
C00001,san,5.0
C00001,terror,1.0
C00001,arm,1.0
C00001,great,1.0
C00001,speak,1.0
C00001,honest,1.0
C00001,amount,1.0
C00001,inner,1.0
C00001,machin,1.0
C00001,deepli,1.0
C00001,play,1.0
C00001,american,2.0
C00001,popul,1.0
C00001,rank,1.0
C00001,fill,1.0
C00001,paperclip,1.0
C00001,nazi,1.0
C00001,fascist,1.0
C00001,master,1.0
C00001,handl,1.0
C00001,aspect,1.0
C00001,train,1.0
C00001,break,1.0
C00001,will,1.0
C00001,sick,1.0
C00001,unlik,1.0
C00001,necessari,1.0
C00001,credenti,1.0
C00001,equal,1.0
C00001,men,1.0
C00001,women,1.0
C00001,unless,1.0
C00001,detector,1.0
C00001,oath,1.0
C00001,split,1.0
C00001,perform,1.0
C00001,vile,1.0
C00001,diana,1.0
C00001,napoli,10.0
C00001,servic,2.0
C00001,diego,3.0
C00001,alarm,1.0
C00001,increas,2.0
C00001,undercov,1.0
C00001,onlin,2.0
C00001,approach,1.0
C00001,post,2.0
C00001,long,1.0
C00001,inform,1.0
C00001,respons,2.0
C00001,track,1.0
C00001,therebi,1.0
C00001,discov,1.0
C00001,real,1.0
C00001,ident,1.0
C00001,effort,1.0
C00001,defeat,1.0
C00001,power,3.0
C00001,influenc,1.0
C00001,pose,1.0
C00001,weapon,1.0
C00001,crime,3.0
C00001,famili,1.0
C00001,career,2.0
C00001,instrument,1.0
C00001,sue,1.0
C00001,larg,2.0
C00001,settlement,1.0
C00001,routin,1.0
C00001,argu,1.0
C00001,sra,1.0
C00001,multipl,2.0
C00001,disord,2.0
C00001,mpd,1.0
C00001,exist,1.0
C00001,organ,2.0
C00001,specif,1.0
C00001,strategi,1.0
C00001,proven,1.0
C00001,quit,4.0
C00001,success,1.0
C00001,allow,2.0
C00001,continu,3.0
C00001,unimped,1.0
C00001,rememb,1.0
C00001,threaten,1.0
C00001,import,1.0
C00001,place,1.0
C00001,fortifi,1.0
C00001,cut,1.0
C00001,teeth,1.0
C00001,close,2.0
C00001,mental,2.0
C00001,charact,3.0
C00001,unstabl,1.0
C00001,celebr,1.0
C00001,third,1.0
C00001,assur,1.0
C00001,steal,1.0
C00001,could,1.0
C00001,fourth,1.0
C00001,februari,2.0
C00001,district,1.0
C00001,lincoln,1.0
C00001,hear,3.0
C00001,matter,1.0
C00001,civil,1.0
C00001,ritualist,2.0
C00001,delusion,1.0
C00001,nationwid,3.0
C00001,agenc,1.0
C00001,noreen,1.0
C00001,whose,1.0
C00001,top,1.0
C00001,pentagon,1.0
C00001,clearanc,1.0
C00001,found,1.0
C00001,friend,1.0
C00001,defer,1.0
C00001,fund,1.0
C00001,experiment,1.0
C00001,deliber,1.0
C00001,element,1.0
C00001,noth,2.0
C00001,mount,1.0
C00001,scare,1.0
C00001,spend,1.0
C00001,jail,1.0
C00001,someon,1.0
C00001,insan,1.0
C00001,rave,2.0
C00001,internet,1.0
C00001,crazi,2.0
C00001,tribun,2.0
C00001,work,2.0
C00001,paint,1.0
C00001,light,1.0
C00001,news,1.0
C00001,threat,1.0
C00001,serious,1.0
C00001,problem,1.0
C00001,fellow,1.0
C00001,nonetheless,1.0
C00001,link,4.0
C00001,anyon,4.0
C00001,also,13.0
C00001,second,2.0
C00001,profession,1.0
C00001,believ,1.0
C00001,agenda,1.0
C00001,els,3.0
C00001,behind,1.0
C00001,deflat,1.0
C00001,stalk,1.0
C00001,grand,1.0
C00001,system,1.0
C00001,feder,1.0
C00001,phoenix,3.0
C00001,program,12.0
C00001,initi,1.0
C00001,cia,4.0
C00001,aim,1.0
C00001,neutral,1.0
C00001,civilian,2.0
C00001,infrastructur,1.0
C00001,support,2.0
C00001,viet,1.0
C00001,cong,1.0
C00001,insurg,1.0
C00001,infam,1.0
C00001,south,2.0
C00001,final,2.0
C00001,solut,1.0
C00001,blatant,1.0
C00001,violat,2.0
C00001,geneva,1.0
C00001,convent,1.0
C00001,target,3.0
C00001,assassin,4.0
C00001,includ,8.0
C00001,vc,1.0
C00001,tax,1.0
C00001,collector,1.0
C00001,terrifi,1.0
C00001,suppli,1.0
C00001,part,4.0
C00001,vietnam,3.0
C00001,among,4.0
C00001,young,3.0
C00001,earli,1.0
C00001,putrid,1.0
C00001,pedophilia,4.0
C00001,mind,2.0
C00001,control,4.0
C00001,trace,1.0
C00001,back,3.0
C00001,least,9.0
C00001,record,2.0
C00001,probabl,1.0
C00001,take,2.0
C00001,goe,1.0
C00001,provid,2.0
C00001,histor,1.0
C00001,tie,3.0
C00001,crimin,8.0
C00001,syndic,9.0
C00001,govern,6.0
C00001,oper,8.0
C00001,posit,7.0
C00001,within,4.0
C00001,began,3.0
C00001,tour,1.0
C00001,duti,2.0
C00001,follow,1.0
C00001,defenseless,1.0
C00001,offic,4.0
C00001,cadr,1.0
C00001,psychopath,2.0
C00001,killer,2.0
C00001,would,5.0
C00001,return,1.0
C00001,home,5.0
C00001,usa,2.0
C00001,complet,4.0
C00001,templ,2.0
C00001,differ,1.0
C00001,becom,1.0
C00001,lead,1.0
C00001,soon,2.0
C00001,set,3.0
C00001,steadi,1.0
C00001,horrif,1.0
C00001,serial,1.0
C00001,underton,1.0
C00001,around,1.0
C00001,southern,1.0
C00001,california,1.0
C00001,area,2.0
C00001,alway,3.0
C00001,live,2.0
C00001,accord,4.0
C00001,sworn,2.0
C00001,testimoni,3.0
C00001,rise,1.0
C00001,polit,3.0
C00001,legion,1.0
C00001,effect,1.0
C00001,local,4.0
C00001,militari,6.0
C00001,offici,3.0
C00001,suspect,1.0
C00001,sympath,2.0
C00001,howev,2.0
C00001,faulti,1.0
C00001,intellig,4.0
C00001,often,3.0
C00001,led,2.0
C00001,murder,5.0
C00001,sometim,1.0
C00001,creat,2.0
C00001,given,3.0
C00001,personnel,1.0
C00001,consid,1.0
C00001,secur,1.0
C00001,risk,1.0
C00001,william,1.0
C00001,colbi,1.0
C00001,head,3.0
C00001,later,5.0
C00001,testifi,2.0
C00001,number,5.0
C00001,vietnames,1.0
C00001,dead,1.0
C00001,kill,3.0
C00001,innoc,2.0
C00001,defil,1.0
C00001,evil,4.0
C00001,truth,1.0
C00001,action,2.0
C00001,explain,2.0
C00001,name,4.0
C00001,keep,2.0
C00001,come,3.0
C00001,case,19.0
C00001,victim,22.0
C00001,conspiraci,9.0
C00001,black,2.0
C00001,bag,1.0
C00001,job,2.0
C00001,defend,2.0
C00001,call,1.0
C00001,fact,4.0
C00001,peopl,16.0
C00001,automat,1.0
C00001,hate,1.0
C00001,unfortun,1.0
C00001,make,7.0
C00001,bad,3.0
C00001,choic,1.0
C00001,lifestyl,1.0
C00001,philosophi,1.0
C00001,excus,2.0
C00001,anyth,1.0
C00001,base,3.0
C00001,although,3.0
C00001,certain,4.0
C00001,revision,1.0
C00001,pleas,2.0
C00001,note,1.0
C00001,psyop,2.0
C00001,use,13.0
C00001,mani,12.0
C00001,level,1.0
C00001,decept,1.0
C00001,coercion,1.0
C00001,manipul,2.0
C00001,percept,2.0
C00001,other,7.0
C00001,ulterior,1.0
C00001,therefor,1.0
C00001,motiv,1.0
C00001,familiar,1.0
C00001,comfort,1.0
C00001,expert,8.0
C00001,propaganda,1.0
C00001,techniqu,4.0
C00001,dissemin,1.0
C00001,disinform,1.0
C00001,misdirect,1.0
C00001,sinc,5.0
C00001,confus,1.0
C00001,tactic,3.0
C00001,isol,2.0
C00001,skill,3.0
C00001,particular,1.0
C00001,lend,1.0
C00001,weight,1.0
C00001,histori,3.0
C00001,event,5.0
C00001,various,2.0
C00001,sourc,1.0
C00001,remov,2.0
C00001,anoth,4.0
C00001,possibl,2.0
C00001,engag,2.0
C00001,sort,1.0
C00001,whatev,1.0
C00001,attempt,4.0
C00001,detail,1.0
C00001,longer,2.0
C00001,much,3.0
C00001,articl,3.0
C00001,mere,1.0
C00001,want,1.0
C00001,put,3.0
C00001,claim,14.0
C00001,proper,1.0
C00001,perspect,1.0
C00001,order,7.0
C00001,show,4.0
C00001,absurd,1.0
C00001,point,6.0
C00001,ruthless,1.0
C00001,short,2.0
C00001,overlook,1.0
C00001,similar,1.0
C00001,person,5.0
C00001,alleg,7.0
C00001,even,7.0
C00001,invit,1.0
C00001,realli,2.0
C00001,complain,2.0
C00001,tend,1.0
C00001,public,6.0
C00001,focus,3.0
C00001,strict,1.0
C00001,child,21.0
C00001,central,3.0
C00001,figur,3.0
C00001,one,19.0
C00001,legal,3.0
C00001,far,7.0
C00001,dare,1.0
C00001,limit,1.0
C00001,version,1.0
C00001,go,4.0
C00001,total,2.0
C00001,ever,5.0
C00001,avoid,2.0
C00001,acknowledg,1.0
C00001,larger,3.0
C00001,bodi,1.0
C00001,evid,14.0
C00001,implic,2.0
C00001,senat,3.0
C00001,year,12.0
C00001,reveal,3.0
C00001,navi,1.0
C00001,expos,7.0
C00001,exhibit,1.0
C00001,radic,1.0
C00001,chang,1.0
C00001,behavior,2.0
C00001,temper,1.0
C00001,outburst,1.0
C00001,sudden,1.0
C00001,mood,1.0
C00001,shift,1.0
C00001,poor,1.0
C00001,impuls,1.0
C00001,col,1.0
C00001,wife,2.0
C00001,lilith,2.0
C00001,abl,1.0
C00001,uncanni,1.0
C00001,accuraci,1.0
C00001,distinct,1.0
C00001,interior,1.0
C00001,charg,5.0
C00001,dismiss,1.0
C00001,month,2.0
C00001,august,2.0
C00001,search,2.0
